"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
884,28319,1216,57,2696,115,0
885,28353,1232,128,2248,128,0
886,28382,1028,153,2080,97,0
887,28411,948,4,1968,54,0
888,28440,552,-50,2016,88,0
889,28470,636,-23,1212,-50,0
890,28498,1052,-17,1232,-120,0
891,28528,1192,-66,2180,-186,0
892,28557,1576,-8,1856,-54,0
893,28587,1264,-53,1736,-117,0
894,28615,1244,-64,2124,-92,0
895,28645,1268,-5,2052,4,0
896,28674,1088,-116,1812,-46,0
897,28702,936,17,1828,-58,0
898,28732,964,-110,1800,-69,0
899,28761,1292,-175,1976,-44,0
900,28790,1080,-67,1648,-68,0
901,28820,1244,-73,1604,-108,0
902,28855,1068,-53,2060,-20,0
903,28883,1148,-60,1528,-58,0
904,28913,1196,-171,1728,-23,0
905,28942,1132,-155,1920,-41,0
906,28972,1356,-184,1680,-20,0
907,29000,1148,-199,1544,-73,0
908,29030,1112,-98,1748,-38,0
909,29060,1148,-125,1816,-47,0
910,29088,1132,-75,1700,-77,0
911,29118,1224,-112,1800,-3,0
912,29147,1044,-146,1928,27,0
913,29176,1096,28,1616,209,0
914,29205,1140,-17,1412,162,0
915,29235,1372,-39,1716,150,0
916,29263,1220,-9,1728,113,0
917,29293,1292,-12,1584,138,0
918,29327,1160,144,1252,146,0
919,29356,928,228,904,138,0
920,29385,808,66,1076,41,0
921,29414,692,-2,1288,44,0
922,29443,788,0,1316,84,0
923,29471,624,-71,1360,27,0
924,29501,664,-91,1324,8,0
925,29530,672,-164,1428,-59,0
926,29559,804,-133,1240,-41,0
927,29588,716,-14,1284,-121,0
928,29618,528,-146,1328,-142,0
929,29646,844,-106,1188,-130,0
930,29676,692,-127,1100,-120,0
931,29705,592,-116,1308,-100,0
932,29734,684,-40,1284,-76,0
933,29763,516,-56,900,-39,0
934,29792,556,-47,1312,-33,0
935,29818,628,-40,1136,-17,0
936,29847,572,26,1056,-13,0
937,29877,704,-143,1280,9,0
938,29905,756,-33,1336,13,0
939,29934,672,-9,1068,-222,0
940,29964,556,20,1080,-26,0
941,29992,608,10,1108,28,0
942,30022,692,-27,1060,64,0
943,30051,716,10,1276,43,0
944,30080,668,1,1244,87,0
945,30109,824,-11,1180,21,0
946,30138,664,-8,1268,50,0
947,30167,756,-14,1232,59,0
948,30196,732,37,1068,12,0
949,30225,780,-56,1120,37,0
950,30254,712,-55,976,23,0
951,30283,576,28,852,-27,0
952,30312,792,11,1184,-8,0
953,30347,868,75,1280,3,0
954,30375,876,32,1248,26,0
955,30404,964,4,1296,44,0
956,30434,896,72,1280,42,0
957,30462,904,-5,1152,47,0
958,30491,608,51,1248,44,0
959,30521,600,-42,996,20,0
960,30550,424,-84,1020,-19,0
961,30578,412,-12,1076,-21,0
962,30608,744,-16,1328,-23,0
963,30637,856,-21,1180,-9,0
964,30665,1020,59,1208,20,0
965,30695,972,-37,1332,41,0
966,30724,896,210,1128,-67,0
967,30753,628,-54,1192,42,0
968,30782,660,-22,1060,-5,0
969,30811,528,-32,1208,9,0
970,30840,408,-40,972,0,0
971,30873,456,-31,1048,-15,0
972,30903,408,-31,884,14,0
973,30931,560,-14,1012,20,0
974,30960,704,-24,1352,36,0
975,30990,840,-1,1080,23,0
976,31019,868,56,1100,51,0
977,31048,952,102,1192,54,0
978,31077,1940,688,1060,73,0
979,31106,1276,21,1176,27,0
980,31135,664,-108,1096,43,0
981,31164,764,-72,1152,94,0
982,31194,668,-21,1152,88,0
983,31222,536,60,972,49,0
984,31251,724,32,936,17,0
985,31280,860,-121,1056,31,0
986,31309,424,-70,1060,54,0
987,31338,532,-55,924,46,0
988,31367,964,135,1276,64,0
989,31410,656,131,1120,50,0
990,31439,644,158,1352,75,0
991,31468,828,34,1080,51,0
992,31498,864,74,1148,61,0
993,31526,876,39,1172,66,0
994,31556,700,8,1108,34,0
995,31585,764,-82,1276,38,0
996,31614,556,-72,1088,-5,0
997,31643,804,9,1024,39,0
998,31672,840,18,1344,-19,0
999,31702,896,101,1136,24,0
1000,31730,764,21,1224,-25,0
1001,31760,772,82,1028,-11,0
1002,31789,664,1,1176,-38,0
1003,31818,476,70,952,-24,0
1004,31847,584,13,1036,-115,0
1005,31877,528,174,980,-145,0
1006,31905,624,117,944,-23,0
1007,31939,660,-29,996,-15,0
1008,31969,680,9,1292,19,0
1009,31997,588,-13,1592,10,0
1010,32026,1028,38,1412,16,0
1011,32056,676,77,1460,-49,0
1012,32084,824,13,1344,8,0
1013,32114,832,-31,1372,-39,0
1014,32143,1008,-31,1324,-3,0
1015,32172,580,-46,1120,-52,0
1016,32201,812,-64,1256,-76,0
1017,32230,792,-118,1492,-197,0
1018,32260,992,-98,1460,-40,0
1019,32288,808,-94,1452,-26,0
1020,32318,820,-47,1024,-6,0
1021,32348,1156,93,1060,41,0
1022,32376,1144,64,1072,84,0
1023,32406,1108,65,1136,102,0
1024,32441,1088,-292,1292,123,0
1025,32470,780,-152,1464,122,0
1026,32499,1076,-115,1020,122,0
1027,32528,684,-142,1260,107,0
1028,32558,1024,-257,1076,111,0
1029,32587,916,-241,724,139,0
1030,32616,1016,-156,820,146,0
1031,32646,844,-174,844,151,0
1032,32674,872,-275,452,128,0
1033,32704,664,-131,528,103,0
1034,32733,612,-102,496,178,0
1035,32762,332,-83,524,282,0
1036,32791,340,67,840,243,0
1037,32820,4080,-331,392,243,1
1038,32849,-568,-538,432,219,1
1039,32879,432,-164,-316,232,1
1040,32912,172,107,-688,246,1
1041,32942,-140,239,-488,87,1
1042,32970,-608,308,-64,123,1
1043,33000,-660,405,428,201,1
1044,33029,-480,426,328,176,1
1045,33058,-1160,296,384,171,1
1046,33087,-884,-17,552,160,1
1047,33117,-1088,124,-212,220,1
1048,33145,-1260,220,-128,129,1
1049,33175,-1072,81,-372,168,1
1050,33204,-1136,66,-644,142,1
1051,33233,-1392,4,-352,117,1
1052,33263,-1248,99,-728,116,1
1053,33292,-1412,9,-308,101,1
1054,33320,-1372,-27,-148,98,1
1055,33350,-1120,-189,-472,74,1
1056,33385,-1468,-78,-444,62,1
1057,33414,-1404,-94,-856,112,1
1058,33443,-1360,-91,-696,50,1
1059,33473,-1548,-107,-752,115,1
1060,33502,-1656,-55,-1020,97,1
1061,33531,-1696,-15,-636,97,1
1062,33560,-1768,-32,-684,150,1
1063,33590,-1752,-101,-880,181,1
1064,33619,-1800,-187,-740,227,1
1065,33648,-1952,-212,-1024,209,1
1066,33678,-2244,-198,-1388,280,1
1067,33707,-2588,-18,-1648,122,1
1068,33736,-2364,7,-1468,37,1
1069,33766,-2072,-82,-1112,82,1
1070,33795,-2092,-94,-884,43,1
1071,33828,-1984,-148,-504,69,1
1072,33858,-1772,-21,-1304,81,1
1073,33887,-2068,122,-1368,-7,1
1074,33916,-2352,-59,-1524,32,1
1075,33945,-2264,52,-1360,23,1
1076,33975,-2308,-11,-1100,-10,1
1077,34004,-2248,-25,-1116,-3,1
1078,34033,-2316,-15,-1020,0,1
1079,34062,-2204,48,-1004,35,1
1080,34092,-2008,-39,-1104,-14,1
1081,34121,-2132,-51,-1160,27,1
1082,34150,-2276,2,-1168,49,1
1083,34180,-2412,6,-916,13,1
1084,34208,-2072,7,-1128,-26,1
1085,34237,-2104,-62,-1144,-47,1
1086,34267,-2284,-100,-1184,-16,1
1087,34318,-2116,-69,-968,-52,1
1088,34350,-1916,-26,-840,-45,1
1089,34382,-1744,-134,-576,-94,1
1090,34414,-1736,-134,-916,-8,1
1091,34447,-1876,60,-1060,-135,1
1092,34479,-1736,86,-836,-188,1
1093,34511,-1752,-139,-1324,-178,1
1094,34543,-2092,-129,-880,-153,1
1095,34576,-1880,-141,-1060,-95,1
1096,34608,-1900,-163,-904,-70,1
1097,34640,-2192,-89,-1232,-57,1
1098,34673,-2268,-67,-1520,-60,1
1099,34705,-2352,-134,-1484,-64,1
1100,34738,-2328,-101,-1228,-81,1
1101,34769,-2084,-3,-964,-76,1
1102,34806,-2044,34,-1056,-4,1
1103,34838,-1928,49,-936,-9,1
1104,34869,-1820,-45,-1196,10,1
1105,34900,-1684,-71,-1068,79,1
1106,34931,-1584,86,-1064,135,1
1107,34963,-1472,8,-1132,46,1
1108,34994,-1788,-52,-1192,87,1
1109,35025,-1736,-70,-1056,73,1
1110,35057,-2032,34,-1124,76,1
1111,35088,-2040,-11,-1132,67,1
1112,35121,-2128,-27,-1432,34,1
1113,35159,-2172,-89,-1244,10,1
1114,35190,-2128,-54,-1360,13,1
1115,35222,-1992,-127,-1224,-33,1
1116,35254,-1848,-83,-1020,14,1
1117,35284,-1816,28,-992,28,1
1118,35322,-1888,110,-1276,55,1
1119,35353,-1960,29,-1264,-5,1
1120,35385,-2004,-9,-1524,-1,1
1121,35417,-1920,45,-1236,-26,1
1122,35448,-1796,6,-1148,-28,1
1123,35479,-1776,-3,-1112,-61,1
1124,35511,-1904,36,-1028,1,1
1125,35543,-1800,72,-1248,8,1
1126,35574,-1676,20,-1208,-6,1
1127,35605,-1924,-26,-1076,14,1
1128,35637,-1928,0,-1236,16,1
1129,35668,-1896,-1,-1044,3,1
1130,35699,-1796,-13,-1124,29,1
1131,35731,-1704,48,-1172,40,1
