"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
512,17454,15192,-42,5188,55,0
513,17482,15280,-26,5284,22,0
514,17512,15248,-105,5224,10,0
515,17541,15140,7,5216,5,0
516,17569,15312,-5,5172,20,0
517,17598,15148,13,5244,2,0
518,17627,15252,28,5292,-11,0
519,17660,15164,-13,5224,-12,0
520,17690,15152,31,5296,-20,0
521,17719,15216,9,5308,-1,0
522,17748,15248,22,5136,0,0
523,17777,15132,-23,5164,2,0
524,17807,15228,-12,5268,14,0
525,17836,15152,30,5264,17,0
526,17865,15240,-10,5368,24,0
527,17894,15204,-6,5292,41,0
528,17924,15256,12,5280,38,0
529,17952,15292,102,5272,12,0
530,17982,15316,-180,5232,-1,0
531,18011,15204,134,5256,14,0
532,18040,15164,-77,5260,7,0
533,18069,15188,32,5248,-9,0
534,18099,15224,-8,5236,-7,0
535,18127,15296,35,5232,-4,0
536,18161,15220,-83,5264,13,0
537,18191,15224,19,5304,-9,0
538,18220,15152,5,5200,9,0
539,18249,15328,-2,5300,-16,0
540,18278,15196,35,5296,16,0
541,18308,15232,20,5268,-7,0
542,18336,15148,-51,5216,-54,0
543,18366,15404,-26,5220,-43,0
544,18396,15064,-2,5256,-21,0
545,18424,15248,-73,5200,7,0
546,18454,15140,42,5200,5,0
547,18483,15200,10,5208,-34,0
548,18512,15196,-24,5240,43,0
549,18542,15252,-21,5212,41,0
550,18571,15144,-35,5252,58,0
551,18600,15188,-61,5256,5,0
552,18629,15240,28,5224,22,0
553,18664,15168,-46,5272,10,0
554,18693,15244,43,5228,-18,0
555,18722,15200,5,5280,-20,0
556,18752,15248,115,5296,17,0
557,18789,15200,4,5252,16,0
558,18818,15220,51,5320,16,0
559,18847,15196,-116,5160,7,0
560,18877,15236,110,5192,-2,0
561,18906,15184,-153,5252,47,0
562,18935,15208,57,5236,21,0
563,18965,15200,1,5224,33,0
564,18994,15248,17,5304,-10,0
565,19023,15144,-47,5216,18,0
566,19053,15256,21,5276,22,0
567,19082,15248,-23,5236,-8,0
568,19111,15308,2,5268,-4,0
569,19141,15220,5,5220,-7,0
570,19175,15164,52,5216,-4,0
571,19204,15256,-109,5200,-20,0
572,19233,15248,80,5196,8,0
573,19262,15124,-83,5268,3,0
574,19292,15260,48,5196,49,0
575,19321,15196,-56,5312,74,0
576,19350,15232,2,5156,49,0
577,19380,15116,-36,5204,9,0
578,19408,15340,-39,5164,31,0
579,19438,15196,-53,5192,24,0
580,19467,15300,47,5164,3,0
581,19496,15076,-80,5124,-27,0
582,19526,15284,6,5240,-2,0
583,19555,15132,-84,5288,21,0
584,19585,15192,9,5196,28,0
585,19613,15196,10,5192,30,0
586,19643,15152,31,5292,0,0
587,19678,15200,68,5264,-32,0
588,19707,15156,-27,5232,-12,0
589,19736,15220,36,5152,-7,0
590,19766,15304,20,5300,-27,0
