"index","Ax","Ay","Az","Gx","Gy","Gz","Gz1","Occupancy"
112 , 1.38 , 0.52 , 10.28 , -0.32 , 0.32 , -0.05 , -0.05 , 1
113 , 1.28 , 0.35 , 10.03 , -0.75 , 0.29 , -0.13 , -0.13 , 1
114 , 1.27 , -0.04 , 9.72 , -0.60 , 0.11 , -0.09 , -0.09 , 1
115 , 1.12 , -0.09 , 10.07 , 0.13 , 0.10 , 0.04 , 0.04 , 1
116 , 1.01 , -0.12 , 10.60 , 0.45 , 0.01 , 0.07 , 0.07 , 1
117 , 1.06 , 0.10 , 10.36 , 0.41 , -0.15 , 0.05 , 0.05 , 1
118 , 0.98 , 0.37 , 10.38 , 0.10 , -0.13 , -0.04 , -0.04 , 1
119 , 1.30 , 0.22 , 10.16 , -0.48 , -0.18 , -0.11 , -0.11 , 1
120 , 1.46 , -0.09 , 9.82 , -0.63 , -0.67 , -0.03 , -0.03 , 1
121 , 1.70 , -0.03 , 9.81 , 0.03 , -0.35 , 0.05 , 0.05 , 1
122 , 1.78 , -0.01 , 10.81 , 0.58 , 0.15 , 0.06 , 0.06 , 1
123 , 1.68 , 0.21 , 10.58 , 0.49 , 0.32 , 0.05 , 0.05 , 1
124 , 1.51 , 0.40 , 10.23 , 0.31 , 0.33 , 0.01 , 0.01 , 1
125 , 1.24 , 0.48 , 10.01 , -0.15 , 0.23 , -0.07 , -0.07 , 1
126 , 1.13 , 0.40 , 10.32 , -0.59 , 0.16 , -0.12 , -0.12 , 1
127 , 1.18 , 0.10 , 9.92 , -0.55 , 0.04 , -0.08 , -0.08 , 1
128 , 1.24 , 0.03 , 9.83 , -0.04 , -0.17 , 0.03 , 0.03 , 1
129 , 1.13 , -0.03 , 10.53 , 0.27 , -0.19 , 0.03 , 0.03 , 1
130 , 1.53 , 0.05 , 10.37 , 0.24 , -0.35 , 0.06 , 0.06 , 1
131 , 1.55 , -0.03 , 10.23 , -0.03 , -0.32 , 0.26 , 0.26 , 1
132 , 1.76 , 0.14 , 9.72 , 0.12 , -0.31 , 0.35 , 0.35 , 1
