"index","timeReal","AccYHip","GyroYHip","AccYKnee","GyroYKnee","Occupancy"
1176,37424,-1288,38,780,58,1
1177,37454,-1396,-12,704,63,1
1178,37486,-1280,24,636,27,1
1179,37518,-1464,-31,688,65,1
1180,37549,-1368,-13,908,39,1
1181,37580,-1428,-14,796,25,1
1182,37611,-1460,56,900,8,1
1183,37643,-1400,-33,616,-25,1
1184,37673,-1232,-27,868,14,1
1185,37705,-1120,22,636,-12,1
1186,37736,-1244,4,824,-3,1
1187,37768,-1248,-2,940,-1,1
1188,37798,-1168,-41,904,10,1
1189,37830,-1092,50,796,-9,1
1190,37861,-1144,24,684,8,1
1191,37893,-1212,-20,832,-9,1
1192,37929,-1268,8,704,11,1
1193,37960,-1240,6,752,-36,1
1194,37992,-1356,-31,744,-32,1
1195,38023,-1276,12,796,-20,1
1196,38054,-1260,-26,804,30,1
1197,38085,-1288,-14,756,-4,1
1198,38117,-1360,19,748,-6,1
1199,38148,-1268,4,720,-28,1
1200,38179,-1248,0,836,-7,1
1201,38210,-1268,-28,816,16,1
1202,38242,-1224,5,800,38,1
1203,38273,-1336,38,600,14,1
1204,38304,-1332,20,744,-15,1
1205,38335,-1368,-21,616,20,1
1206,38367,-1284,-6,716,-30,1
1207,38397,-1296,27,668,-9,1
1208,38429,-1232,-28,692,0,1
1209,38465,-1180,-38,700,-33,1
1210,38496,-1048,-54,744,9,1
1211,38528,-1260,32,772,10,1
1212,38558,-1368,-43,668,11,1
1213,38590,-1304,-21,644,19,1
1214,38621,-1388,15,652,13,1
1215,38652,-1176,-38,736,-8,1
1216,38683,-1156,24,704,-27,1
1217,38715,-1276,15,708,-3,1
1218,38746,-1264,-27,716,3,1
1219,38777,-1172,-3,704,25,1
1220,38808,-1180,-16,724,-1,1
1221,38840,-1232,-45,688,-18,1
1222,38871,-1288,27,720,12,1
1223,38902,-1268,-25,608,-6,1
1224,38933,-1452,0,640,-5,1
1225,38965,-1044,14,536,-6,1
1226,39002,-1076,-1,628,-13,1
1227,39032,-1220,-4,696,5,1
1228,39063,-1240,20,684,13,1
1229,39095,-1160,58,744,9,1
1230,39126,-1220,20,692,29,1
1231,39157,-1244,0,792,44,1
1232,39188,-632,459,728,22,1
1233,39220,-1048,-13,704,70,1
1234,39250,-1272,-12,576,11,1
1235,39282,-1268,25,604,6,1
1236,39313,-1360,13,492,20,1
1237,39345,-1232,-27,640,51,1
1238,39375,-1424,14,648,24,1
1239,39407,-1272,-1,512,-17,1
1240,39438,-1240,77,768,-17,1
1241,39470,-1204,58,552,-17,1
1242,39500,-1100,19,636,14,1
1243,39536,-1080,-84,712,18,1
1244,39568,-1044,-5,564,12,1
1245,39599,-1104,-46,704,28,1
1246,39631,-1184,8,532,13,1
1247,39669,-1332,21,480,26,1
1248,39701,-1184,-85,532,23,1
1249,39732,-1036,8,764,28,1
1250,39763,-1136,-35,568,11,1
1251,39794,-1572,-93,644,21,1
1252,39826,-944,68,584,34,1
1253,39857,-1472,227,500,43,1
1254,39888,-1200,56,512,38,1
1255,39919,-1092,15,480,40,1
1256,39951,-1484,-11,576,73,1
1257,39982,-1292,-13,372,83,1
1258,40013,-1000,-10,552,69,1
1259,40044,-1300,-22,684,64,1
1260,40082,-1096,-83,544,85,1
1261,40113,-1300,36,652,103,1
1262,40144,-1176,90,596,142,1
1263,40175,-1112,148,804,147,1
1264,40207,-1220,35,684,182,1
1265,40238,432,-301,496,182,1
1266,40269,-1184,132,604,244,1
1267,40301,-1424,277,420,219,1
1268,40332,-1092,75,524,246,1
1269,40364,-1684,-191,368,235,1
1270,40394,-1204,-149,368,262,1
1271,40426,-1160,33,580,231,1
1272,40458,-1248,100,396,269,1
1273,40488,-1668,-43,208,280,1
1274,40520,-1688,-146,60,262,1
1275,40551,-1416,-245,-188,400,1
1276,40587,-2428,-60,236,326,0
1277,40619,-1200,-17,100,338,0
1278,40650,-2512,-134,-176,127,0
1279,40681,-2088,-336,812,-117,0
1280,40713,-2312,-931,316,-151,0
1281,40743,-572,-864,532,-440,0
1282,40775,444,-1049,1240,-375,0
1283,40807,1384,-1274,1192,-58,0
1284,40838,616,-1545,-148,-66,0
1285,40869,-1324,-1369,-488,-163,0
1286,40901,-2724,-1201,776,-564,0
1287,40932,-2392,-986,1112,-638,0
1288,40964,-1588,-900,2028,-999,0
1289,40995,-956,-1353,1428,-990,0
1290,41026,-736,-1722,1576,-1684,0
1291,41064,-120,-2465,1756,-1278,0
1292,41095,-1036,-2683,1444,-1611,0
1293,41126,-1784,-2685,3544,-2234,0
1294,41158,-504,-3322,4232,-3573,0
1295,41190,620,-3383,4624,-3835,0
1296,41222,1036,-3738,4960,-4640,0
1297,41252,1100,-3084,8892,-5960,0
1298,41284,1596,-3034,240,-6285,0
1299,41316,1024,-3548,-11064,-6142,0
1300,41348,428,-474,-6268,-10328,0
1301,41379,236,3772,-1988,-7325,0
1302,41410,3356,9620,-6280,-1472,0
1303,41442,4792,8583,-12492,-1935,0
1304,41474,4532,7873,-20060,-11055,0
1305,41509,2200,7107,-7288,-15318,0
1306,41541,-220,8564,-3448,-9185,0
1307,41573,-580,9482,368,-3273,0
1308,41604,1004,9098,1256,-180,0
1309,41635,3536,9133,-3920,-2749,0
1310,41667,5136,8154,-1872,-2419,0
1311,41699,3764,7564,-656,-611,0
1312,41731,1864,5920,-1520,454,0
1313,41761,640,4854,-568,2229,0
1314,41793,-28,4596,-804,3016,0
1315,41824,456,4090,532,3885,0
1316,41856,2276,3604,884,5219,0
